Index,Folder,Completed,Pending,Total
1,lab,12,10,22
2,python_project,0,1,1
3,Challenge-4-Flatdango,1,0,1
4,wysiwyg,0,0,0
5,tasks,0,0,0
6,TEST_PROJECT,0,0,0
7,todoscript,0,0,0
8,x-lab,0,0,0
9,little-letters-to-you,0,0,0
10,slack-ui,0,0,0
11,brainy_bunch_website,0,0,0
12,tasks_with_django,0,0,0
13,leetcode,0,0,0
14,sklad,0,0,0
15,form-builder,0,0,0
16,projo,0,0,0
17,blood-donor-system,0,0,0
18,banquet-contest,0,0,0
19,scheduler,0,0,0
20,Games,0,0,0
21,framer-motion-layout-animations,0,0,0
22,Challenge-2-Flatacuties,0,0,0
23,brainy-bunch-erp,0,0,0
24,Reads,0,0,0
25,Django_tutorials,0,0,0
26,brainy-bunch-org,0,0,0
